time,IOT_Sensor_Reading,Error_Present,Sensor_2,Sensor_Value
05-09-2017 04:00,-1.506181934,-0.424783161,2.034774824,-1.338281481
05-09-2017 05:00,-1.523640312,-0.424783161,2.034774824,-1.468580692
05-09-2017 06:00,-1.371276281,-0.424783161,2.034774824,-1.455007857
05-09-2017 07:00,-0.756265218,-0.424783161,2.034774824,-1.465866125
05-09-2017 08:00,-0.609456125,-0.424783161,2.034774824,-1.088541326
05-09-2017 09:00,-0.7927691,-0.424783161,2.034774824,-0.966385816
05-09-2017 10:00,-0.515815731,-0.424783161,2.034774824,-0.407185035
05-09-2017 11:00,-0.348374009,-0.424783161,2.034774824,-0.320318894
05-09-2017 12:00,0.325360692,-0.424783161,2.034774824,0.257883855
05-09-2017 13:00,0.030948944,-0.424783161,2.034774824,0.162874014
05-09-2017 14:00,0.03888457,-0.424783161,2.034774824,0.162874014
05-09-2017 15:00,0.039678133,-0.424783161,2.034774824,0.162874014
05-09-2017 16:00,0.269811305,-0.424783161,2.034774824,0.162874014
05-09-2017 17:00,0.523751357,-0.424783161,2.034774824,0.301316926
05-09-2017 18:00,0.021426192,-0.424783161,2.034774824,0.312175193
05-09-2017 19:00,-0.251559364,-0.424783161,2.034774824,0.54291338
05-09-2017 20:00,-0.165854597,-0.424783161,2.034774824,0.361037397
05-09-2017 21:00,-0.233307423,-0.424783161,2.034774824,-0.209021651
05-09-2017 22:00,-0.000793563,-0.424783161,2.034774824,-0.154730313
05-09-2017 23:00,0.392019955,-0.424783161,2.034774824,0.019001968
06-09-2017 00:00,0.492008851,-1.486741065,0.131275795,0.369181098
06-09-2017 01:00,0.861809052,-1.486741065,0.131275795,0.852374006
06-09-2017 02:00,0.749916716,-1.486741065,0.131275795,0.768222432
06-09-2017 03:00,0.86736399,-1.486741065,0.131275795,1.09397046
06-09-2017 04:00,0.72134846,-1.486741065,0.131275795,1.088541326
06-09-2017 05:00,0.67056045,-1.486741065,0.131275795,1.153690932
06-09-2017 06:00,0.534861235,-1.486741065,0.131275795,1.153690932
06-09-2017 07:00,0.112685898,-1.486741065,0.131275795,1.153690932
06-09-2017 08:00,0.261875679,-1.486741065,0.131275795,1.153690932
06-09-2017 09:00,0.679289639,-1.486741065,0.131275795,1.376285417
06-09-2017 10:00,0.543590424,-1.486741065,0.131275795,0.860517707
06-09-2017 11:00,0.801498289,-1.486741065,0.131275795,0.510338577
06-09-2017 12:00,0.785627036,-1.486741065,0.131275795,0.385468499
06-09-2017 13:00,0.698335143,-1.486741065,0.131275795,0.480478341
06-09-2017 14:00,0.636437255,-1.486741065,0.131275795,0.461476373
06-09-2017 15:00,0.683257453,-1.486741065,0.131275795,0.203592517
06-09-2017 16:00,0.691986642,-1.486741065,0.131275795,0.480478341
06-09-2017 17:00,0.666592637,-1.486741065,0.131275795,0.263312989
06-09-2017 18:00,0.693573767,-1.486741065,0.131275795,0.331177162
06-09-2017 19:00,0.774517159,-1.486741065,0.131275795,0.328462595
06-09-2017 20:00,0.871331804,-1.486741065,0.131275795,0.336606295
06-09-2017 21:00,0.73007765,-1.486741065,0.131275795,0.513053144
06-09-2017 22:00,0.935610379,-1.486741065,0.131275795,0.513053144
06-09-2017 23:00,0.805466103,-1.486741065,0.131275795,0.513053144
07-09-2017 00:00,0.872918929,0.141594387,-0.722016873,0.209021651
07-09-2017 01:00,0.538829048,0.141594387,-0.722016873,-0.07872244
07-09-2017 02:00,0.521370669,0.141594387,-0.722016873,-0.116726377
07-09-2017 03:00,0.715793522,0.141594387,-0.722016873,-0.214450785
07-09-2017 04:00,0.651514946,0.141594387,-0.722016873,-0.211736218
07-09-2017 05:00,0.787214161,0.141594387,-0.722016873,-0.116726377
07-09-2017 06:00,0.807053228,0.141594387,-0.722016873,-0.119440944
07-09-2017 07:00,0.62294669,0.141594387,-0.722016873,-0.12215551
07-09-2017 17:00,-0.309489438,0.141594387,-0.722016873,-0.046147637
07-09-2017 18:00,-0.478518286,0.141594387,-0.722016873,-0.190019683
07-09-2017 19:00,-0.673734701,0.141594387,-0.722016873,-0.19273425
07-09-2017 20:00,-0.671354013,0.141594387,-0.722016873,-0.195448817
07-09-2017 21:00,-0.648340695,0.141594387,-0.722016873,-0.198163384
07-09-2017 22:00,-0.795149788,0.141594387,-0.722016873,-0.190019683
07-09-2017 23:00,-0.781659223,0.141594387,-0.722016873,-0.195448817
08-09-2017 00:00,-0.73007765,0.920363516,-1.247120054,-0.228023619
08-09-2017 01:00,-0.577713618,0.920363516,-1.247120054,-0.12215551
08-09-2017 02:00,-0.664211949,0.920363516,-1.247120054,-0.07872244
08-09-2017 03:00,-0.854666988,0.920363516,-1.247120054,-0.07872244
08-09-2017 04:00,-0.412652585,0.920363516,-1.247120054,-0.084151574
08-09-2017 05:00,-0.505499416,0.920363516,-1.247120054,-0.108582676
08-09-2017 06:00,-0.68246389,0.920363516,-1.247120054,0.331177162
08-09-2017 07:00,-0.591204184,0.920363516,-1.247120054,0.298602359
08-09-2017 08:00,-0.365832388,0.920363516,-1.247120054,0.293173225
08-09-2017 09:00,-0.527719171,0.920363516,-1.247120054,0.179161415
08-09-2017 10:00,-0.588823496,0.920363516,-1.247120054,-0.019001968
08-09-2017 11:00,-0.492802414,0.920363516,-1.247120054,-0.054291338
08-09-2017 12:00,-0.674528263,0.920363516,-1.247120054,-0.070578739
08-09-2017 13:00,-0.687225266,0.920363516,-1.247120054,-0.073293306
08-09-2017 14:00,-1.260177508,0.920363516,-1.247120054,-0.342035429
08-09-2017 15:00,-1.011792395,0.920363516,-1.247120054,-0.624350386
08-09-2017 16:00,-0.970527136,0.920363516,-1.247120054,-0.70035826
08-09-2017 17:00,-1.196692495,0.920363516,-1.247120054,-0.659639756
08-09-2017 18:00,-1.103845664,0.920363516,-1.247120054,-0.597204718
08-09-2017 19:00,-1.064167531,0.920363516,-1.247120054,-0.618921253
08-09-2017 20:00,-1.026076523,0.920363516,-1.247120054,-0.632494087
08-09-2017 21:00,-0.880060993,0.920363516,-1.247120054,-0.627064953
08-09-2017 22:00,-0.73007765,0.920363516,-1.247120054,-0.589061017
08-09-2017 23:00,-0.68246389,0.920363516,-1.247120054,-0.583631883
09-09-2017 00:00,-0.86418974,-1.628335452,0.328189488,-0.55105708
09-09-2017 01:00,-0.838002172,-1.628335452,0.328189488,-0.553771647
